10/04/20,17:43:11,470,21,532,49,650,48,516
10/04/20,17:43:12,470,14,532,70,650,50,516
10/04/20,17:43:13,470,15,532,59,650,50,516
10/04/20,17:43:14,470,7,532,68,650,50,516
10/04/20,17:43:15,470,66,532,76,650,55,516
10/04/20,17:43:16,470,-14,532,70,650,47,516
10/04/20,17:43:17,470,-6,532,38,650,48,516
10/04/20,17:43:18,470,9,532,66,650,50,516
10/04/20,17:43:20,470,3,532,56,650,47,516
10/04/20,17:43:21,470,57,532,77,650,54,516
10/04/20,17:43:22,470,-3,532,69,650,48,516
10/04/20,17:43:23,470,-9,532,28,650,47,516
10/04/20,17:43:24,470,40,532,64,650,53,516
10/04/20,17:43:25,470,92,532,79,650,57,516
10/04/20,17:43:26,470,89,532,79,650,54,516
10/04/20,17:43:28,470,19,532,80,650,47,516
10/04/20,17:43:29,470,86,532,67,650,59,516
10/04/20,17:43:30,470,59,532,77,650,58,516
10/04/20,17:43:31,470,40,532,67,650,52,516
10/04/20,17:43:32,470,59,532,79,650,59,516
10/04/20,17:43:33,470,4,532,53,650,45,516
10/04/20,17:43:34,470,73,532,76,650,57,516
10/04/20,17:43:35,470,45,532,53,650,50,516
10/04/20,17:43:37,470,80,532,73,650,55,516
10/04/20,17:43:38,470,96,532,76,650,57,516
10/04/20,17:43:39,470,17,532,68,650,50,516
10/04/20,17:43:40,470,22,532,56,650,54,516
10/04/20,17:43:41,470,24,532,42,650,52,516
10/04/20,17:43:42,470,-19,532,49,650,45,516
10/04/20,17:43:43,470,0,532,58,650,49,516
10/04/20,17:43:44,470,-7,532,39,650,44,516
10/04/20,17:43:46,470,22,532,59,650,50,516
10/04/20,17:43:47,470,46,532,66,650,53,516
10/04/20,17:43:48,470,24,532,65,650,49,516
10/04/20,17:43:49,470,91,532,62,650,59,516
10/04/20,17:43:50,470,50,532,67,650,58,516
10/04/20,17:43:51,470,70,532,67,650,59,516
10/04/20,17:43:52,470,67,532,66,650,58,516
10/04/20,17:43:53,470,29,532,61,650,51,516
10/04/20,17:43:55,470,53,532,66,650,56,516
10/04/20,17:43:56,470,38,532,63,650,52,516
