raw_phase_delay,raw_thermistor_voltage,oxygen_ml_l,temperature,datetime
16.666,0.553401,5.652,24.9268,10/22/2020 17:15:32.830023
16.666,0.553413,5.652,24.9261,10/22/2020 17:15:34.021837
16.670,0.553424,5.650,24.9255,10/22/2020 17:15:35.208684
16.668,0.553437,5.651,24.9247,10/22/2020 17:15:36.380530
16.669,0.553446,5.650,24.9243,10/22/2020 17:15:37.692023
16.669,0.553456,5.650,24.9237,10/22/2020 17:15:38.766151
16.674,0.553484,5.647,24.9221,10/22/2020 17:15:39.957963
16.666,0.553496,5.653,24.9214,10/22/2020 17:15:41.132821
16.664,0.553512,5.655,24.9205,10/22/2020 17:15:42.313663
16.668,0.553531,5.652,24.9194,10/22/2020 17:15:43.844573
16.666,0.553556,5.654,24.9180,10/22/2020 17:15:44.705270
16.665,0.553554,5.654,24.9181,10/22/2020 17:15:45.975870
16.669,0.553572,5.651,24.9171,10/22/2020 17:15:47.063964
16.674,0.553622,5.648,24.9143,10/22/2020 17:15:48.250790
16.667,0.553617,5.654,24.9146,10/22/2020 17:15:49.448585
16.666,0.553605,5.655,24.9152,10/22/2020 17:15:50.633419
16.671,0.553613,5.651,24.9148,10/22/2020 17:15:51.820244
16.674,0.553629,5.649,24.9139,10/22/2020 17:15:53.006073
16.666,0.553646,5.655,24.9129,10/22/2020 17:15:54.186915
16.673,0.553667,5.649,24.9117,10/22/2020 17:15:55.381721
16.672,0.553694,5.651,24.9102,10/22/2020 17:15:56.661298
16.670,0.553716,5.653,24.9089,10/22/2020 17:15:57.844137
16.672,0.553716,5.650,24.9090,10/22/2020 17:15:58.935219
16.667,0.553705,5.654,24.9096,10/22/2020 17:16:00.117057
16.670,0.553714,5.652,24.9091,10/22/2020 17:16:01.314855
16.674,0.553727,5.649,24.9083,10/22/2020 17:16:02.505672
16.670,0.553733,5.652,24.9080,10/22/2020 17:16:03.689506
16.671,0.553735,5.651,24.9079,10/22/2020 17:16:04.869350
16.673,0.553753,5.650,24.9068,10/22/2020 17:16:06.048197
16.670,0.553764,5.653,24.9062,10/22/2020 17:16:07.253973
16.676,0.553776,5.648,24.9055,10/22/2020 17:16:08.528568
16.668,0.553788,5.655,24.9049,10/22/2020 17:16:09.612666
16.666,0.553803,5.657,24.9040,10/22/2020 17:16:10.801489
16.673,0.553826,5.651,24.9027,10/22/2020 17:16:11.995295
16.666,0.553824,5.656,24.9028,10/22/2020 17:16:13.180127
16.667,0.553845,5.656,24.9016,10/22/2020 17:16:14.383910
16.670,0.553847,5.654,24.9016,10/22/2020 17:16:15.552784
16.672,0.553862,5.652,24.9007,10/22/2020 17:16:16.743599
16.667,0.553872,5.657,24.9001,10/22/2020 17:16:17.915465
16.668,0.553891,5.655,24.8990,10/22/2020 17:16:19.118249
16.668,0.553903,5.656,24.8984,10/22/2020 17:16:20.301086
16.673,0.553906,5.652,24.8982,10/22/2020 17:16:21.491903
16.673,0.553930,5.652,24.8968,10/22/2020 17:16:22.676734
16.669,0.553936,5.655,24.8965,10/22/2020 17:16:23.860570
16.670,0.553949,5.655,24.8958,10/22/2020 17:16:25.035429
16.669,0.553970,5.655,24.8946,10/22/2020 17:16:26.222253
16.669,0.553978,5.655,24.8941,10/22/2020 17:16:27.414067
16.667,0.554007,5.658,24.8925,10/22/2020 17:16:28.604882
16.671,0.554007,5.654,24.8925,10/22/2020 17:16:29.791710
16.674,0.554017,5.652,24.8919,10/22/2020 17:16:30.970558
16.671,0.554040,5.655,24.8906,10/22/2020 17:16:32.166361
16.672,0.554036,5.654,24.8908,10/22/2020 17:16:33.453916
16.666,0.554074,5.659,24.8887,10/22/2020 17:16:34.539013
16.670,0.554090,5.656,24.8878,10/22/2020 17:16:35.717864
16.669,0.554090,5.657,24.8878,10/22/2020 17:16:36.906686
16.671,0.554099,5.656,24.8873,10/22/2020 17:16:38.100493
16.668,0.554117,5.658,24.8862,10/22/2020 17:16:39.386055
16.669,0.554130,5.658,24.8855,10/22/2020 17:16:40.471153
16.676,0.554134,5.651,24.8853,10/22/2020 17:16:41.652994
16.671,0.554159,5.656,24.8839,10/22/2020 17:16:42.833833
16.667,0.554170,5.659,24.8833,10/22/2020 17:16:44.026644
16.673,0.554176,5.655,24.8829,10/22/2020 17:16:45.227432
16.670,0.554185,5.657,24.8824,10/22/2020 17:16:46.403289
16.672,0.554195,5.656,24.8818,10/22/2020 17:16:47.600098
16.675,0.554208,5.654,24.8811,10/22/2020 17:16:48.792901
16.674,0.554224,5.654,24.8802,10/22/2020 17:16:49.964764
16.673,0.554230,5.655,24.8799,10/22/2020 17:16:51.146603
16.671,0.554252,5.657,24.8786,10/22/2020 17:16:52.334427
16.671,0.554263,5.657,24.8780,10/22/2020 17:16:53.510282
16.677,0.554275,5.652,24.8773,10/22/2020 17:16:54.698111
16.671,0.554291,5.657,24.8764,10/22/2020 17:16:55.905881
16.675,0.554296,5.654,24.8761,10/22/2020 17:16:57.094700
16.671,0.554341,5.658,24.8736,10/22/2020 17:16:58.280531
16.675,0.554364,5.655,24.8723,10/22/2020 17:16:59.552128
16.672,0.554373,5.657,24.8718,10/22/2020 17:17:00.639223
16.676,0.554381,5.654,24.8713,10/22/2020 17:17:01.845995
16.675,0.554385,5.655,24.8711,10/22/2020 17:17:03.009882
16.671,0.554389,5.658,24.8708,10/22/2020 17:17:04.195713
16.671,0.554401,5.659,24.8702,10/22/2020 17:17:05.385530
16.677,0.554430,5.654,24.8685,10/22/2020 17:17:06.572356
16.667,0.554434,5.662,24.8683,10/22/2020 17:17:07.786113
16.677,0.554447,5.654,24.8676,10/22/2020 17:17:08.952991
16.669,0.554467,5.661,24.8665,10/22/2020 17:17:10.235564
16.669,0.554484,5.661,24.8655,10/22/2020 17:17:11.329638
16.675,0.554493,5.656,24.8650,10/22/2020 17:17:12.503498
16.670,0.554508,5.661,24.8641,10/22/2020 17:17:13.703289
16.672,0.554549,5.660,24.8618,10/22/2020 17:17:14.887125
16.672,0.554579,5.659,24.8602,10/22/2020 17:17:16.077940
17.339,0.555044,5.153,24.8338,10/22/2020 17:17:17.259779
17.049,0.678053,6.618,18.5333,10/22/2020 17:17:18.441626
17.059,0.687694,6.712,18.0863,10/22/2020 17:17:19.635426
17.282,0.725405,6.907,16.3912,10/22/2020 17:17:20.819261
17.085,0.736518,7.223,15.9070,10/22/2020 17:17:22.007085
16.983,0.726165,7.210,16.3579,10/22/2020 17:17:23.181943
16.931,0.712824,7.113,16.9476,10/22/2020 17:17:24.370763
16.912,0.704486,7.038,17.3213,10/22/2020 17:17:25.565569
16.840,0.698309,7.041,17.6007,10/22/2020 17:17:26.754390
16.816,0.696813,7.048,17.6687,10/22/2020 17:17:27.934236
16.774,0.689615,7.010,17.9979,10/22/2020 17:17:29.113084
16.760,0.688658,7.013,18.0419,10/22/2020 17:17:30.308887
16.759,0.688604,7.014,18.0444,10/22/2020 17:17:31.487734
16.740,0.682698,6.967,18.3172,10/22/2020 17:17:32.681542
16.725,0.681582,6.969,18.3690,10/22/2020 17:17:33.868367
16.683,0.678887,6.980,18.4944,10/22/2020 17:17:35.053199
16.690,0.671953,6.896,18.8192,10/22/2020 17:17:36.246012
16.660,0.672260,6.929,18.8048,10/22/2020 17:17:37.429845
16.625,0.672355,6.964,18.8003,10/22/2020 17:17:38.625650
16.617,0.673321,6.983,18.7549,10/22/2020 17:17:39.803500
16.588,0.671092,6.987,18.8598,10/22/2020 17:17:40.985337
16.642,0.663317,6.846,19.2282,10/22/2020 17:17:42.168173
16.596,0.669143,6.957,18.9518,10/22/2020 17:17:43.687113
16.577,0.668774,6.972,18.9691,10/22/2020 17:17:44.551800
16.600,0.667470,6.935,19.0309,10/22/2020 17:17:45.738627
16.578,0.664808,6.927,19.1572,10/22/2020 17:17:46.919469
16.496,0.660397,6.958,19.3676,10/22/2020 17:17:48.106298
16.482,0.660654,6.976,19.3553,10/22/2020 17:17:49.288137
16.492,0.658921,6.945,19.4382,10/22/2020 17:17:50.490918
16.456,0.657837,6.970,19.4902,10/22/2020 17:17:51.668771
16.427,0.655845,6.976,19.5860,10/22/2020 17:17:52.855595
16.427,0.656577,6.985,19.5508,10/22/2020 17:17:54.032450
16.407,0.656897,7.008,19.5353,10/22/2020 17:17:55.223267
16.447,0.663170,7.040,19.2351,10/22/2020 17:17:56.422063
16.451,0.663038,7.034,19.2414,10/22/2020 17:17:57.603901
16.382,0.659470,7.064,19.4119,10/22/2020 17:17:58.794716
16.337,0.657357,7.085,19.5132,10/22/2020 17:17:59.970571
16.356,0.656815,7.060,19.5393,10/22/2020 17:18:01.154405
16.358,0.658798,7.081,19.4441,10/22/2020 17:18:02.354196
16.360,0.657968,7.070,19.4839,10/22/2020 17:18:03.537033
16.308,0.656551,7.107,19.5520,10/22/2020 17:18:04.716879
16.367,0.652659,7.000,19.7397,10/22/2020 17:18:05.901711
16.397,0.651573,6.958,19.7923,10/22/2020 17:18:07.093526
16.334,0.651576,7.022,19.7921,10/22/2020 17:18:08.287332
16.283,0.654718,7.111,19.6403,10/22/2020 17:18:09.470169
16.320,0.654970,7.075,19.6281,10/22/2020 17:18:10.653007
16.407,0.665341,7.106,19.1319,10/22/2020 17:18:11.837842
16.459,0.669646,7.103,18.9280,10/22/2020 17:18:13.115422
16.315,0.672289,7.283,18.8034,10/22/2020 17:18:14.316210
16.332,0.674969,7.297,18.6776,10/22/2020 17:18:15.407294
16.350,0.673137,7.256,18.7636,10/22/2020 17:18:16.584149
16.276,0.667753,7.271,19.0175,10/22/2020 17:18:17.775959
16.250,0.663458,7.248,19.2214,10/22/2020 17:18:18.951814
16.364,0.668414,7.186,18.9862,10/22/2020 17:18:20.157590
16.353,0.676313,7.291,18.6146,10/22/2020 17:18:21.337436
16.293,0.674151,7.329,18.7159,10/22/2020 17:18:22.523266
16.314,0.670291,7.261,18.8976,10/22/2020 17:18:23.713082
16.401,0.684355,7.334,18.2404,10/22/2020 17:18:24.888940
16.461,0.689087,7.325,18.0222,10/22/2020 17:18:26.087733
16.321,0.690032,7.488,17.9787,10/22/2020 17:18:27.259600
16.322,0.682672,7.399,18.3184,10/22/2020 17:18:28.452411
16.280,0.682704,7.444,18.3170,10/22/2020 17:18:29.640234
16.240,0.677066,7.420,18.5794,10/22/2020 17:18:30.920811
16.233,0.677561,7.435,18.5563,10/22/2020 17:18:32.011892
16.216,0.672863,7.396,18.7764,10/22/2020 17:18:33.204704
16.385,0.681231,7.315,18.3853,10/22/2020 17:18:34.388538
16.279,0.672107,7.319,18.8120,10/22/2020 17:18:35.573369
16.330,0.674176,7.289,18.7148,10/22/2020 17:18:36.752216
16.280,0.683504,7.454,18.2798,10/22/2020 17:18:37.939043
16.263,0.676913,7.394,18.5866,10/22/2020 17:18:39.241562
16.333,0.678417,7.337,18.5163,10/22/2020 17:18:40.320676
16.310,0.691585,7.519,17.9075,10/22/2020 17:18:41.510493
16.279,0.675325,7.358,18.6609,10/22/2020 17:18:42.686350
16.275,0.681552,7.436,18.3704,10/22/2020 17:18:43.873177
16.317,0.686191,7.446,18.1556,10/22/2020 17:18:45.085933
16.283,0.684992,7.468,18.2110,10/22/2020 17:18:46.251815
16.319,0.687432,7.458,18.0984,10/22/2020 17:18:47.439639
16.328,0.685653,7.428,18.1805,10/22/2020 17:18:48.621479
16.266,0.676563,7.386,18.6029,10/22/2020 17:18:49.808306
16.388,0.688460,7.396,18.0510,10/22/2020 17:18:51.003110
16.252,0.679552,7.438,18.4634,10/22/2020 17:18:52.199910
16.274,0.680879,7.430,18.4017,10/22/2020 17:18:53.475499
16.253,0.678399,7.422,18.5172,10/22/2020 17:18:54.555610
16.303,0.678819,7.373,18.4976,10/22/2020 17:18:55.743435
16.271,0.679224,7.412,18.4787,10/22/2020 17:18:56.939236
16.333,0.680770,7.364,18.4067,10/22/2020 17:18:58.132048
16.218,0.678550,7.462,18.5101,10/22/2020 17:18:59.393675
16.287,0.680158,7.407,18.4352,10/22/2020 17:19:00.492736
16.224,0.676698,7.433,18.5966,10/22/2020 17:19:01.686543
16.239,0.676326,7.413,18.6140,10/22/2020 17:19:02.873368
16.203,0.671646,7.395,18.8337,10/22/2020 17:19:04.059197
16.239,0.683469,7.498,18.2814,10/22/2020 17:19:05.239043
16.245,0.673719,7.375,18.7362,10/22/2020 17:19:06.423874
16.230,0.672543,7.378,18.7914,10/22/2020 17:19:07.607710
16.274,0.676083,7.372,18.6254,10/22/2020 17:19:08.807502
16.260,0.676987,7.398,18.5831,10/22/2020 17:19:09.995326
16.265,0.675642,7.377,18.6460,10/22/2020 17:19:11.179159
16.301,0.683130,7.427,18.2971,10/22/2020 17:19:12.357009
16.237,0.679559,7.453,18.4631,10/22/2020 17:19:13.541843
16.353,0.683991,7.381,18.2573,10/22/2020 17:19:14.742630
16.316,0.684541,7.427,18.2318,10/22/2020 17:19:15.922477
16.277,0.693506,7.578,17.8196,10/22/2020 17:19:17.110300
16.233,0.689581,7.578,17.9995,10/22/2020 17:19:18.292139
16.292,0.684621,7.454,18.2281,10/22/2020 17:19:19.477968
16.237,0.677928,7.434,18.5392,10/22/2020 17:19:20.678762
16.246,0.679566,7.443,18.4628,10/22/2020 17:19:21.856609
16.319,0.681509,7.388,18.3724,10/22/2020 17:19:23.037449
16.258,0.683008,7.472,18.3029,10/22/2020 17:19:24.232257
16.262,0.682583,7.463,18.3225,10/22/2020 17:19:25.412102
16.238,0.679839,7.456,18.4501,10/22/2020 17:19:26.711625
16.239,0.678553,7.439,18.5100,10/22/2020 17:19:27.787749
16.258,0.678263,7.416,18.5235,10/22/2020 17:19:28.979563
16.294,0.681149,7.411,18.3891,10/22/2020 17:19:30.159408
16.341,0.687115,7.431,18.1130,10/22/2020 17:19:31.337258
16.244,0.679704,7.448,18.4563,10/22/2020 17:19:32.552009
16.252,0.675594,7.390,18.6483,10/22/2020 17:19:33.725873
16.241,0.677741,7.427,18.5479,10/22/2020 17:19:34.908707
16.327,0.679480,7.355,18.4668,10/22/2020 17:19:36.086558
16.311,0.676319,7.336,18.6143,10/22/2020 17:19:37.286348
16.234,0.676279,7.418,18.6162,10/22/2020 17:19:38.456222
16.246,0.678343,7.429,18.5198,10/22/2020 17:19:39.666984
16.388,0.685426,7.361,18.1909,10/22/2020 17:19:40.941574
16.362,0.686200,7.397,18.1552,10/22/2020 17:19:42.033654
16.266,0.682014,7.451,18.3489,10/22/2020 17:19:43.523672
16.307,0.684163,7.432,18.2494,10/22/2020 17:19:44.382375
16.278,0.679621,7.410,18.4602,10/22/2020 17:19:45.583165
16.309,0.679087,7.370,18.4851,10/22/2020 17:19:46.871721
16.262,0.679325,7.424,18.4740,10/22/2020 17:19:47.954822
16.301,0.681521,7.408,18.3719,10/22/2020 17:19:49.134669
16.337,0.688948,7.457,18.0285,10/22/2020 17:19:50.325483
16.391,0.687155,7.378,18.1111,10/22/2020 17:19:51.524278
16.335,0.681281,7.368,18.3829,10/22/2020 17:19:52.719083
16.248,0.674064,7.376,18.7200,10/22/2020 17:19:53.888954
16.317,0.676247,7.328,18.6177,10/22/2020 17:19:55.069796
16.302,0.677986,7.365,18.5365,10/22/2020 17:19:56.259617
16.271,0.678700,7.406,18.5031,10/22/2020 17:19:57.455417
16.380,0.682488,7.335,18.3269,10/22/2020 17:19:58.640249
16.340,0.686255,7.422,18.1526,10/22/2020 17:19:59.818099
16.271,0.685936,7.493,18.1673,10/22/2020 17:20:01.100669
16.257,0.682066,7.462,18.3465,10/22/2020 17:20:02.190756
16.276,0.682383,7.445,18.3318,10/22/2020 17:20:03.388552
16.283,0.680516,7.415,18.4185,10/22/2020 17:20:04.571390
16.289,0.680961,7.414,18.3979,10/22/2020 17:20:05.754226
16.230,0.678406,7.447,18.5168,10/22/2020 17:20:06.927090
16.276,0.678029,7.393,18.5345,10/22/2020 17:20:08.124888
16.291,0.682994,7.437,18.3035,10/22/2020 17:20:09.318696
16.250,0.678828,7.430,18.4972,10/22/2020 17:20:10.503526
16.259,0.677767,7.409,18.5467,10/22/2020 17:20:11.695341
16.273,0.681924,7.443,18.3531,10/22/2020 17:20:12.868204
16.250,0.680856,7.455,18.4027,10/22/2020 17:20:14.055031
16.254,0.680943,7.452,18.3987,10/22/2020 17:20:15.253824
16.278,0.678875,7.401,18.4950,10/22/2020 17:20:16.440651
16.277,0.675913,7.367,18.6334,10/22/2020 17:20:17.624484
16.254,0.673859,7.367,18.7296,10/22/2020 17:20:18.803331
16.236,0.673789,7.386,18.7329,10/22/2020 17:20:19.991157
16.247,0.673597,7.372,18.7419,10/22/2020 17:20:21.187957
16.285,0.675539,7.354,18.6508,10/22/2020 17:20:22.370793
16.313,0.676818,7.339,18.5911,10/22/2020 17:20:23.555626
16.254,0.676125,7.394,18.6234,10/22/2020 17:20:24.739459
16.264,0.679026,7.418,18.4879,10/22/2020 17:20:25.923294
16.302,0.682618,7.420,18.3209,10/22/2020 17:20:27.123087
16.357,0.688833,7.434,18.0338,10/22/2020 17:20:28.303929
16.338,0.695221,7.531,17.7413,10/22/2020 17:20:29.496738
16.374,0.690776,7.439,17.9446,10/22/2020 17:20:30.674589
16.364,0.690998,7.453,17.9344,10/22/2020 17:20:31.860418
16.283,0.686895,7.491,18.1231,10/22/2020 17:20:33.061209
16.315,0.686498,7.451,18.1414,10/22/2020 17:20:34.239059
16.372,0.686534,7.391,18.1398,10/22/2020 17:20:35.424887
16.347,0.685185,7.402,18.2021,10/22/2020 17:20:36.612712
16.337,0.686437,7.427,18.1443,10/22/2020 17:20:37.789566
16.326,0.686077,7.435,18.1609,10/22/2020 17:20:38.992347
16.296,0.680157,7.397,18.4353,10/22/2020 17:20:40.177179
16.353,0.681626,7.353,18.3669,10/22/2020 17:20:41.362011
16.392,0.684608,7.347,18.2287,10/22/2020 17:20:42.538865
16.322,0.686577,7.445,18.1378,10/22/2020 17:20:43.723699
16.290,0.683785,7.446,18.2668,10/22/2020 17:20:44.907531
16.301,0.690282,7.512,17.9673,10/22/2020 17:20:46.107323
16.306,0.692165,7.529,17.8809,10/22/2020 17:20:47.293151
16.383,0.687975,7.396,18.0734,10/22/2020 17:20:48.473993
16.282,0.681553,7.428,18.3703,10/22/2020 17:20:49.657827
16.292,0.680631,7.407,18.4132,10/22/2020 17:20:50.830693
16.358,0.682939,7.364,18.3060,10/22/2020 17:20:52.051429
16.418,0.691745,7.403,17.9002,10/22/2020 17:20:53.222297
16.345,0.685333,7.405,18.1953,10/22/2020 17:20:54.409124
16.316,0.689292,7.484,18.0128,10/22/2020 17:20:55.594952
16.325,0.689674,7.478,17.9952,10/22/2020 17:20:56.774797
16.298,0.683793,7.438,18.2664,10/22/2020 17:20:57.974590
16.307,0.683963,7.430,18.2586,10/22/2020 17:20:59.169395
16.323,0.685052,7.426,18.2082,10/22/2020 17:21:00.339266
16.317,0.687732,7.465,18.0845,10/22/2020 17:21:01.523100
16.313,0.687341,7.464,18.1026,10/22/2020 17:21:02.798690
16.337,0.685150,7.412,18.2037,10/22/2020 17:21:03.908722
16.275,0.682294,7.445,18.3359,10/22/2020 17:21:05.196279
16.286,0.681693,7.426,18.3639,10/22/2020 17:21:06.273397
16.299,0.681896,7.414,18.3545,10/22/2020 17:21:07.461222
16.278,0.680412,7.419,18.4234,10/22/2020 17:21:08.643063
16.280,0.677820,7.387,18.5442,10/22/2020 17:21:09.841856
16.304,0.679195,7.377,18.4800,10/22/2020 17:21:11.022699
16.310,0.679174,7.370,18.4810,10/22/2020 17:21:12.205536
16.357,0.683836,7.375,18.2645,10/22/2020 17:21:13.487109
16.343,0.682258,7.371,18.3376,10/22/2020 17:21:14.573204
16.294,0.680260,7.400,18.4305,10/22/2020 17:21:15.772001
16.292,0.679416,7.392,18.4698,10/22/2020 17:21:16.958825
16.387,0.683039,7.334,18.3014,10/22/2020 17:21:18.235413
16.372,0.689373,7.425,18.0090,10/22/2020 17:21:19.334473
16.326,0.685341,7.427,18.1949,10/22/2020 17:21:20.530277
16.300,0.682161,7.416,18.3421,10/22/2020 17:21:21.714111
16.319,0.682167,7.396,18.3419,10/22/2020 17:21:22.901934
16.308,0.682919,7.416,18.3070,10/22/2020 17:21:24.072803
16.367,0.684131,7.368,18.2508,10/22/2020 17:21:25.374325
16.321,0.682952,7.403,18.3054,10/22/2020 17:21:26.445459
16.313,0.682492,7.406,18.3267,10/22/2020 17:21:27.647246
