date,time,wavelength1,turbidity_595_nm_raw,wavelength2,turbidity_700_nm_raw,wavelength3,cdom_460_nm_raw,wavelength4,datetime
10/22/20,09:10:58,595,50,700,50,460,53,516,10/22/2020 17:14:55.673381
10/22/20,09:10:59,595,50,700,50,460,50,516,10/22/2020 17:14:56.804355
10/22/20,09:11:00,595,50,700,51,460,50,516,10/22/2020 17:14:57.925358
10/22/20,09:11:01,595,50,700,51,460,50,516,10/22/2020 17:14:59.068302
10/22/20,09:11:02,595,51,700,50,460,50,516,10/22/2020 17:15:00.183322
10/22/20,09:11:03,595,50,700,50,460,50,516,10/22/2020 17:15:01.315294
10/22/20,09:11:05,595,50,700,50,460,50,516,10/22/2020 17:15:02.439288
10/22/20,09:11:06,595,50,700,50,460,50,516,10/22/2020 17:15:03.662019
10/22/20,09:11:07,595,50,700,51,460,50,516,10/22/2020 17:15:04.693261
10/22/20,09:11:08,595,50,700,51,460,50,516,10/22/2020 17:15:05.830220
10/22/20,09:11:09,595,50,700,51,460,50,516,10/22/2020 17:15:07.058935
10/22/20,09:11:10,595,50,700,51,460,50,516,10/22/2020 17:15:08.082198
10/22/20,09:11:11,595,50,700,50,460,50,516,10/22/2020 17:15:09.302938
10/22/20,09:11:13,595,50,700,51,460,50,516,10/22/2020 17:15:10.343153
10/22/20,09:11:14,595,51,700,50,460,50,516,10/22/2020 17:15:11.457174
10/22/20,09:11:15,595,51,700,50,460,50,516,10/22/2020 17:15:12.599121
10/22/20,09:11:16,595,50,700,51,460,101,516,10/22/2020 17:15:13.718128
10/22/20,09:11:17,595,53,700,50,460,-18,516,10/22/2020 17:15:14.855088
10/22/20,09:11:18,595,50,700,50,460,90,516,10/22/2020 17:15:15.971104
10/22/20,09:11:19,595,52,700,50,460,1,516,10/22/2020 17:15:17.107066
10/22/20,09:11:20,595,50,700,50,460,57,516,10/22/2020 17:15:18.229066
10/22/20,09:11:22,595,49,700,52,460,82,516,10/22/2020 17:15:19.365028
10/22/20,09:11:23,595,47,700,50,460,50,516,10/22/2020 17:15:20.489024
10/22/20,09:11:24,595,53,700,52,460,50,515,10/22/2020 17:15:21.629973
10/22/20,09:11:25,595,51,700,51,460,42,516,10/22/2020 17:15:22.740003
10/22/20,09:11:26,595,50,700,50,460,-28,516,10/22/2020 17:15:23.871976
10/22/20,09:11:27,595,50,700,50,460,3,516,10/22/2020 17:15:25.020904
10/22/20,09:11:28,595,51,700,51,460,41,515,10/22/2020 17:15:26.132937
10/22/20,09:11:29,595,51,700,50,460,60,516,10/22/2020 17:15:27.357659
10/22/20,09:11:31,595,56,700,52,460,50,516,10/22/2020 17:15:28.390895
10/22/20,09:11:32,595,53,700,50,460,19,516,10/22/2020 17:15:29.521871
10/22/20,09:11:33,595,50,700,50,460,-219,516,10/22/2020 17:15:30.650851
10/22/20,09:11:34,595,50,700,52,460,185,516,10/22/2020 17:15:31.786815
10/22/20,09:11:35,595,49,700,51,460,78,516,10/22/2020 17:15:32.896844
10/22/20,09:11:36,595,50,700,50,460,68,516,10/22/2020 17:15:34.032808
10/22/20,09:11:37,595,56,700,53,460,76,516,10/22/2020 17:15:35.155809
10/22/20,09:11:38,595,49,700,54,460,50,516,10/22/2020 17:15:36.608919
10/22/20,09:11:40,595,51,700,50,460,50,516,10/22/2020 17:15:37.414764
10/22/20,09:11:41,595,51,700,52,460,129,516,10/22/2020 17:15:38.548731
10/22/20,09:11:42,595,48,700,52,460,24,516,10/22/2020 17:15:39.667740
10/22/20,09:11:43,595,50,700,51,460,85,516,10/22/2020 17:15:40.803702
10/22/20,09:11:44,595,50,700,51,460,213,516,10/22/2020 17:15:41.937670
10/22/20,09:11:45,595,52,700,57,460,-110,515,10/22/2020 17:15:43.075626
10/22/20,09:11:46,595,39,700,49,460,92,516,10/22/2020 17:15:44.203611
10/22/20,09:11:47,595,53,700,51,460,50,516,10/22/2020 17:15:45.313643
10/22/20,09:11:49,595,47,700,50,460,80,516,10/22/2020 17:15:46.448608
10/22/20,09:11:50,595,48,700,51,460,-20,516,10/22/2020 17:15:47.568614
10/22/20,09:11:51,595,54,700,47,460,-19,516,10/22/2020 17:15:48.709564
10/22/20,09:11:52,595,48,700,51,460,26,516,10/22/2020 17:15:49.828569
10/22/20,09:11:53,595,51,700,50,460,22,516,10/22/2020 17:15:50.968521
10/22/20,09:11:54,595,50,700,52,460,10,516,10/22/2020 17:15:52.085536
10/22/20,09:11:55,595,57,700,49,460,50,516,10/22/2020 17:15:53.218505
10/22/20,09:11:57,595,44,700,50,460,43,516,10/22/2020 17:15:54.347485
10/22/20,09:11:58,595,49,700,50,460,29,516,10/22/2020 17:15:55.472478
10/22/20,09:11:59,595,50,700,50,460,98,516,10/22/2020 17:15:56.613427
10/22/20,09:12:00,595,51,700,51,460,-26,516,10/22/2020 17:15:57.729444
10/22/20,09:12:01,595,57,700,50,460,-22,516,10/22/2020 17:15:58.863411
10/22/20,09:12:02,595,51,700,52,460,136,516,10/22/2020 17:15:59.986408
10/22/20,09:12:03,595,51,700,50,460,43,516,10/22/2020 17:16:01.126361
10/22/20,09:12:04,595,51,700,50,460,72,516,10/22/2020 17:16:02.239384
10/22/20,09:12:06,595,46,700,51,460,89,516,10/22/2020 17:16:03.496023
10/22/20,09:12:07,595,52,700,55,460,31,516,10/22/2020 17:16:04.500338
10/22/20,09:12:08,595,49,700,52,460,-57,516,10/22/2020 17:16:05.641286
10/22/20,09:12:09,595,49,700,51,460,-51,516,10/22/2020 17:16:06.868005
10/22/20,09:12:10,595,51,700,50,460,10,516,10/22/2020 17:16:07.890274
10/22/20,09:12:11,595,55,700,50,460,-7,516,10/22/2020 17:16:09.009280
10/22/20,09:12:12,595,52,700,50,460,-51,516,10/22/2020 17:16:10.157212
10/22/20,09:12:13,595,49,700,51,460,59,516,10/22/2020 17:16:11.270234
10/22/20,09:12:15,595,50,700,50,460,50,516,10/22/2020 17:16:12.400214
10/22/20,09:12:16,595,47,700,50,460,42,516,10/22/2020 17:16:13.638905
10/22/20,09:12:17,595,51,700,51,460,50,516,10/22/2020 17:16:14.670144
10/22/20,09:12:18,595,50,700,50,460,17,516,10/22/2020 17:16:15.796135
10/22/20,09:12:19,595,50,700,51,460,70,516,10/22/2020 17:16:16.919129
10/22/20,09:12:20,595,53,700,50,460,112,516,10/22/2020 17:16:18.058084
10/22/20,09:12:21,595,47,700,50,460,78,516,10/22/2020 17:16:19.181083
10/22/20,09:12:22,595,43,700,51,460,19,516,10/22/2020 17:16:20.600289
10/22/20,09:12:24,595,51,700,52,460,197,516,10/22/2020 17:16:21.424084
10/22/20,09:12:25,595,52,700,49,460,72,516,10/22/2020 17:16:22.659779
10/22/20,09:12:26,595,50,700,50,460,-48,516,10/22/2020 17:16:23.685037
10/22/20,09:12:27,595,41,700,50,460,216,516,10/22/2020 17:16:24.822994
10/22/20,09:12:28,595,49,700,51,460,18,516,10/22/2020 17:16:25.961950
10/22/20,09:12:29,595,50,700,51,460,50,516,10/22/2020 17:16:27.075969
10/22/20,09:12:30,595,50,700,51,460,-53,516,10/22/2020 17:16:28.519112
10/22/20,09:12:32,595,49,700,50,460,24,516,10/22/2020 17:16:29.338921
10/22/20,09:12:33,595,52,700,50,460,98,516,10/22/2020 17:16:30.469896
10/22/20,09:12:34,595,45,700,50,460,50,516,10/22/2020 17:16:31.592893
10/22/20,09:12:35,595,50,700,51,460,85,516,10/22/2020 17:16:32.730851
10/22/20,09:12:36,595,50,700,50,460,71,516,10/22/2020 17:16:33.859832
10/22/20,09:12:37,595,52,700,52,460,-72,516,10/22/2020 17:16:34.980832
10/22/20,09:12:38,595,50,700,51,460,-16,516,10/22/2020 17:16:36.195586
10/22/20,09:12:39,595,50,700,53,460,129,516,10/22/2020 17:16:37.231814
10/22/20,09:12:41,595,51,700,51,460,35,516,10/22/2020 17:16:38.355807
10/22/20,09:12:42,595,48,700,50,460,42,516,10/22/2020 17:16:39.492767
10/22/20,09:12:43,595,46,700,50,460,63,516,10/22/2020 17:16:40.611775
10/22/20,09:12:44,595,53,700,50,460,25,516,10/22/2020 17:16:41.748734
10/22/20,09:12:45,595,50,700,51,460,26,516,10/22/2020 17:16:42.883700
10/22/20,09:12:46,595,52,700,51,460,83,516,10/22/2020 17:16:44.005702
10/22/20,09:12:47,595,50,700,50,460,93,516,10/22/2020 17:16:45.146649
10/22/20,09:12:48,595,50,700,51,460,135,516,10/22/2020 17:16:46.260672
10/22/20,09:12:50,595,50,700,50,460,-25,516,10/22/2020 17:16:47.404615
10/22/20,09:12:51,595,50,700,50,460,-46,516,10/22/2020 17:16:48.534589
10/22/20,09:12:52,595,50,700,50,460,-15,516,10/22/2020 17:16:49.646615
10/22/20,09:12:53,595,54,700,54,460,39,516,10/22/2020 17:16:50.775596
10/22/20,09:12:54,595,51,700,55,460,50,516,10/22/2020 17:16:51.993339
10/22/20,09:12:55,595,48,700,52,460,43,516,10/22/2020 17:16:53.109356
10/22/20,09:12:56,595,51,700,50,460,57,516,10/22/2020 17:16:54.163536
10/22/20,09:12:57,595,50,700,51,460,52,516,10/22/2020 17:16:55.298505
10/22/20,09:12:59,595,50,700,50,460,85,516,10/22/2020 17:16:56.418509
10/22/20,09:13:00,595,50,700,50,460,48,516,10/22/2020 17:16:57.542501
10/22/20,09:13:01,595,53,700,51,460,50,516,10/22/2020 17:16:58.669489
10/22/20,09:13:02,595,50,700,50,460,50,516,10/22/2020 17:16:59.791490
10/22/20,09:13:03,595,53,700,50,460,73,516,10/22/2020 17:17:00.932438
10/22/20,09:13:04,595,51,700,50,460,109,516,10/22/2020 17:17:02.059426
10/22/20,09:13:05,595,52,700,52,460,45,516,10/22/2020 17:17:03.286145
10/22/20,09:13:06,595,50,700,50,460,104,516,10/22/2020 17:17:04.314393
10/22/20,09:13:08,595,51,700,50,460,63,516,10/22/2020 17:17:05.440384
10/22/20,09:13:09,595,47,700,51,460,85,516,10/22/2020 17:17:06.579338
10/22/20,09:13:10,595,52,700,50,460,59,516,10/22/2020 17:17:07.693361
10/22/20,09:13:11,595,50,700,52,460,48,516,10/22/2020 17:17:08.828329
10/22/20,09:13:12,595,50,700,51,460,87,516,10/22/2020 17:17:09.964287
10/22/20,09:13:13,595,50,700,51,460,-20,516,10/22/2020 17:17:11.089283
10/22/20,09:13:14,595,49,700,50,460,163,516,10/22/2020 17:17:12.203299
10/22/20,09:13:16,595,50,700,52,460,14,516,10/22/2020 17:17:13.339261
10/22/20,09:13:17,595,50,700,52,460,55,516,10/22/2020 17:17:14.457273
10/22/20,09:13:18,595,51,700,51,460,50,516,10/22/2020 17:17:15.598222
10/22/20,09:13:19,595,726,700,611,460,136,516,10/22/2020 17:17:16.724212
10/22/20,09:13:20,595,184,700,90,460,76,516,10/22/2020 17:17:17.854190
10/22/20,09:13:21,595,79,700,85,460,77,516,10/22/2020 17:17:19.087890
10/22/20,09:13:22,595,79,700,122,460,73,516,10/22/2020 17:17:20.128112
10/22/20,09:13:23,595,79,700,83,460,75,516,10/22/2020 17:17:21.244125
10/22/20,09:13:25,595,78,700,88,460,74,516,10/22/2020 17:17:22.374105
10/22/20,09:13:26,595,79,700,84,460,73,516,10/22/2020 17:17:23.499096
10/22/20,09:13:27,595,80,700,83,460,74,516,10/22/2020 17:17:24.618103
10/22/20,09:13:28,595,82,700,91,460,74,516,10/22/2020 17:17:25.758054
10/22/20,09:13:29,595,79,700,83,460,73,516,10/22/2020 17:17:26.891027
10/22/20,09:13:30,595,84,700,82,460,75,516,10/22/2020 17:17:28.015020
10/22/20,09:13:31,595,76,700,88,460,73,516,10/22/2020 17:17:29.130037
10/22/20,09:13:32,595,81,700,87,460,77,516,10/22/2020 17:17:30.594124
10/22/20,09:13:34,595,77,700,87,460,72,516,10/22/2020 17:17:31.387003
10/22/20,09:13:35,595,80,700,83,460,76,516,10/22/2020 17:17:32.525958
10/22/20,09:13:36,595,81,700,84,460,72,516,10/22/2020 17:17:33.646961
10/22/20,09:13:37,595,82,700,84,460,74,516,10/22/2020 17:17:34.789903
10/22/20,09:13:38,595,80,700,88,460,75,516,10/22/2020 17:17:35.917888
10/22/20,09:13:39,595,82,700,89,460,74,516,10/22/2020 17:17:37.148597
10/22/20,09:13:40,595,78,700,88,460,74,516,10/22/2020 17:17:38.174853
10/22/20,09:13:41,595,79,700,83,460,73,516,10/22/2020 17:17:39.300842
10/22/20,09:13:43,595,77,700,82,460,74,516,10/22/2020 17:17:40.533546
10/22/20,09:13:44,595,78,700,81,460,74,516,10/22/2020 17:17:41.658538
10/22/20,09:13:45,595,76,700,82,460,75,516,10/22/2020 17:17:42.684794
10/22/20,09:13:46,595,78,700,82,460,74,516,10/22/2020 17:17:43.817763
10/22/20,09:13:47,595,79,700,82,460,74,516,10/22/2020 17:17:44.937768
10/22/20,09:13:48,595,77,700,81,460,74,516,10/22/2020 17:17:46.058773
10/22/20,09:13:49,595,78,700,83,460,75,516,10/22/2020 17:17:47.199721
