17.094,0.639062,6.169,20.4039,10/19/2020 14:54:32.968929
17.095,0.639060,6.168,20.4039,10/19/2020 14:54:34.304361
17.094,0.639052,6.169,20.4043,10/19/2020 14:54:34.523772
17.094,0.639050,6.169,20.4044,10/19/2020 14:54:35.801354
17.099,0.639042,6.165,20.4048,10/19/2020 14:54:36.998155
17.094,0.639041,6.168,20.4049,10/19/2020 14:54:38.069290
17.096,0.639036,6.167,20.4052,10/19/2020 14:54:39.265091
17.094,0.639026,6.168,20.4056,10/19/2020 14:54:40.566609
17.091,0.639043,6.171,20.4048,10/19/2020 14:54:41.742467
17.093,0.639023,6.170,20.4058,10/19/2020 14:54:42.822579
17.093,0.639024,6.169,20.4057,10/19/2020 14:54:44.237792
17.094,0.639023,6.169,20.4058,10/19/2020 14:54:45.209197
17.092,0.639018,6.170,20.4060,10/19/2020 14:54:46.475808
17.091,0.639022,6.171,20.4058,10/19/2020 14:54:47.559912
17.092,0.639016,6.170,20.4061,10/19/2020 14:54:48.926258
17.092,0.639021,6.171,20.4059,10/19/2020 14:54:49.959495
17.096,0.639011,6.167,20.4063,10/19/2020 14:54:51.170255
17.096,0.639015,6.167,20.4062,10/19/2020 14:54:52.414929
17.093,0.639014,6.170,20.4062,10/19/2020 14:54:53.587787
17.093,0.639014,6.169,20.4062,10/19/2020 14:54:54.777609
17.094,0.639006,6.169,20.4066,10/19/2020 14:54:55.968422
17.098,0.639006,6.165,20.4066,10/19/2020 14:54:57.162231
17.093,0.639007,6.170,20.4066,10/19/2020 14:54:58.330107
17.096,0.639006,6.166,20.4066,10/19/2020 14:54:59.525908
17.094,0.639002,6.169,20.4068,10/19/2020 14:55:00.725701
17.094,0.639005,6.168,20.4066,10/19/2020 14:55:02.094040
17.089,0.638997,6.172,20.4070,10/19/2020 14:55:03.109325
17.090,0.638991,6.172,20.4074,10/19/2020 14:55:04.268227
17.095,0.638997,6.168,20.4070,10/19/2020 14:55:05.487963
17.093,0.638992,6.169,20.4073,10/19/2020 14:55:06.661826
17.093,0.638995,6.170,20.4071,10/19/2020 14:55:07.828703
